,Mean,Std,Error1,Error2
0,0.15012424,9.732639929638812e-05,0.1500269136007036,0.15022156639929637
1,0.15063286,0.0004410260060359227,0.15019183399396407,0.15107388600603594
2,0.15061696,0.0007526585035724998,0.1498643014964275,0.1513696185035725
3,0.15066464000000002,0.0004578940630757261,0.1502067459369243,0.15112253406307574
4,0.15182494,0.00037945651002453706,0.15144548348997544,0.15220439651002454
5,0.15206337999999997,0.0007318422999526682,0.1513315377000473,0.15279522229995263
6,0.1517137,0.0008316430694715108,0.1508820569305285,0.1525453430694715
7,0.1513322,0.0007314255806300486,0.15060077441936995,0.15206362558063005
8,0.1516978,0.000414482261381593,0.1512833177386184,0.1521122822613816
9,0.15255612,0.000972688671672498,0.1515834313283275,0.15352880867167248
10,0.15281042,0.0011992446568569752,0.15161117534314303,0.15400966465685698
11,0.15241306,0.0013550301668228642,0.15105802983317712,0.15376809016682286
12,0.15309652,0.0009141133036992785,0.15218240669630073,0.1540106333036993
13,0.1543204,0.0016965277480784097,0.1526238722519216,0.1560169277480784
14,0.15424092,0.0019631744438536273,0.15227774555614637,0.15620409444385364
15,0.15417734,0.0017201727610911667,0.15245716723890884,0.15589751276109115
16,0.15482904,0.0028645501432162036,0.1519644898567838,0.1576935901432162
17,0.15444754,0.0019045555355515344,0.15254298446444847,0.15635209553555152
18,0.15392304,0.0017496708813374048,0.1521733691186626,0.1556727108813374
19,0.15432038,0.0013758423263586508,0.15294453767364136,0.15569622232635866
20,0.15536944,0.0015684705760708375,0.15380096942392915,0.15693791057607084
21,0.15595754,0.0016254195821387202,0.1543321204178613,0.15758295958213872
22,0.15589396,0.0007446885610777237,0.15514927143892226,0.15663864856107773
23,0.15584626,0.0008485326970718382,0.15499772730292816,0.15669479269707182
24,0.15613236,0.0014234233604237347,0.15470893663957627,0.15755578336042372
25,0.1563867,0.002038134136900712,0.15434856586309928,0.1584248341369007
26,0.15605291999999998,0.002032064897339656,0.15402085510266034,0.15808498489733963
27,0.15551248,0.002818970307931611,0.1526935096920684,0.1583314503079316
28,0.15594164,0.0020256986431846156,0.15391594135681538,0.1579673386431846
29,0.15794436,0.002660034255982428,0.15528432574401757,0.16060439425598244
30,0.15981994,0.004933403965113741,0.15488653603488625,0.16475334396511374
31,0.16028086,0.004607867129486259,0.15567299287051373,0.16488872712948627
32,0.1604239,0.004395024505619959,0.15602887549438005,0.16481892450561997
33,0.16112328000000004,0.005144174731383067,0.15597910526861697,0.1662674547313831
34,0.1619498,0.005571426975201236,0.15637837302479876,0.16752122697520125
35,0.1622518,0.006049520664895697,0.1562022793351043,0.1683013206648957
36,0.16196568,0.006460077683124254,0.15550560231687574,0.16842575768312426
37,0.16147295999999997,0.0063641354639102435,0.15510882453608973,0.1678370954639102
38,0.16180674,0.006582335709153708,0.1552244042908463,0.1683890757091537
39,0.16249022,0.006495592612071662,0.15599462738792833,0.16898581261207166
40,0.16247432,0.005218813845310055,0.15725550615468994,0.16769313384531007
41,0.16241074,0.004770228938216696,0.1576405110617833,0.16718096893821668
42,0.16344386000000002,0.005786419104938733,0.15765744089506128,0.16923027910493876
43,0.16481082,0.006979449071882396,0.1578313709281176,0.17179026907188238
44,0.165081,0.006733273140902576,0.15834772685909743,0.17181427314090258
45,0.16419092,0.005736369957734601,0.15845455004226539,0.1699272899577346
46,0.16360282,0.005188782404572387,0.15841403759542763,0.1687916024045724
47,0.1639843,0.005585924917594223,0.15839837508240578,0.16957022491759421
48,0.16450879999999998,0.00642918872837001,0.15807961127162998,0.17093798872837
49,0.16428628,0.0064833324414995085,0.1578029475585005,0.17076961244149952
50,0.1639843,0.0059833645104573115,0.1580009354895427,0.1699676645104573
51,0.16442934,0.0063413997380704495,0.15808794026192957,0.17077073973807044
52,0.16523996,0.006950449099374798,0.15828951090062518,0.1721904090993748
53,0.16533534,0.006566407335674501,0.15876893266432549,0.1719017473356745
54,0.16508104,0.0054458813779773045,0.1596351586220227,0.17052692137797731
55,0.16536712,0.0050633496479109506,0.16030377035208906,0.17043046964791095
56,0.1659552,0.005714133848624827,0.16024106615137518,0.17166933384862482
57,0.16617776,0.006340669742858399,0.1598370902571416,0.17251842974285841
58,0.16630494,0.006424664710551048,0.15988027528944895,0.17272960471055107
59,0.1666069,0.006253811379071166,0.16035308862092884,0.17286071137907116
60,0.16711552,0.006541751908854386,0.1605737680911456,0.17365727190885438
61,0.16717912,0.0071195172583539724,0.16005960274164602,0.17429863725835396
62,0.16667047999999998,0.007349704102683311,0.15932077589731666,0.1740201841026833
63,0.16625722,0.007065295008844287,0.15919192499115573,0.1733225150088443
64,0.16641616,0.007013436923720061,0.15940272307627995,0.17342959692372006
65,0.1668771,0.007187245253224627,0.15968985474677538,0.17406434525322462
66,0.16694068,0.007095289480141027,0.159845390519859,0.17403596948014102
67,0.166893,0.006450047909511996,0.160442952090488,0.17334304790951202
68,0.16746522000000003,0.005747510310299574,0.16171770968970045,0.1732127303102996
69,0.16864142,0.0057151424380324925,0.16292627756196748,0.1743565624380325
70,0.16961098000000002,0.0060559930888335715,0.16355498691116646,0.17566697308883358
71,0.17008782,0.0061455158487306845,0.1639423041512693,0.1762333358487307
72,0.17037392,0.006044981599393,0.164328938400607,0.17641890159939302
73,0.17029444,0.00626763288036241,0.16402680711963757,0.1765620728803624
74,0.16953152,0.00668220465916751,0.16284931534083247,0.17621372465916751
75,0.16860962000000002,0.007118158176593151,0.16149146182340687,0.17572777817659316
76,0.16829172,0.007204176532887017,0.161087543467113,0.17549589653288702
