,Mean,Std,Error1,Error2
0,0.0,0.0,0.0,0.0
1,0.00019619184969432436,0.00023280654880277444,-3.6614699108450085e-05,0.0004289983984970988
2,0.00024962202419807065,0.0002527501569879325,-3.1281327898618713e-06,0.0005023721811860031
3,0.0003162840857931865,0.00024386828248626905,7.241580330691742e-05,0.0005601523682794555
4,0.0004320193435326941,0.00019524924891876945,0.00023677009461392466,0.0006272685924514636
5,0.00048045794669270556,0.00019210519455400502,0.00028835275213870057,0.0006725631412467106
6,0.0005607824525012767,0.00016278913142020243,0.0003979933210810743,0.0007235715839214791
7,0.000646785305138256,0.0002440290460217467,0.00040275625911650927,0.0008908143511600027
8,0.0006968936122711295,0.00024545324570495977,0.0004514403665661697,0.0009423468579760892
9,0.0007454383399022824,0.00023885985719604406,0.0005065784827062383,0.0009842981970983264
10,0.0007937568044740134,0.00023698393350103436,0.000556772870972979,0.0010307407379750479
11,0.0008400676433044846,0.00023562075023154513,0.0006044468930729394,0.0010756883935360297
12,0.0008984337129253033,0.00023027942453375527,0.0006681542883915481,0.0011287131374590586
13,0.0009508062629962205,0.00022767912909094028,0.0007231271339052803,0.0011784853920871609
14,0.001000906534679727,0.00022911002579821543,0.0007717965088815115,0.0012300165604779423
15,0.0010635304105624439,0.00022455941864597787,0.000838970991916466,0.0012880898292084218
16,0.001115609990337363,0.00022532328953871653,0.0008902867007986464,0.0013409332798760794
17,0.001161927686489983,0.00022433908781973848,0.0009375885986702445,0.0013862667743097215
18,0.0012083675619847772,0.00021747045445895348,0.0009908971075258237,0.0014258380164437307
19,0.0012530272259404728,0.00021472265688529942,0.0010383045690551733,0.0014677498828257723
20,0.0013034057640353453,0.00021286726843193564,0.0010905384956034097,0.0015162730324672809
21,0.0013535387351503642,0.00021507964017170012,0.0011384590949786641,0.0015686183753220644
22,0.001405833527767761,0.00021277602908048235,0.0011930574986872785,0.0016186095568482433
23,0.001455887015825544,0.00021206829639787637,0.0012438187194276674,0.0016679553122234203
24,0.0015042809740398399,0.0002125875073562603,0.0012916934666835796,0.0017168684813961001
25,0.0015489407780662795,0.00021026909887551594,0.0013386716791907636,0.0017592098769417955
26,0.0016012606965582516,0.0002073304009484477,0.0013939302956098038,0.0018085910975066993
27,0.0016455947213201538,0.00020579143448307263,0.0014398032868370811,0.0018513861558032264
28,0.0016899532130745438,0.00020618662915559957,0.0014837665839189443,0.0018961398422301433
29,0.0017344622476841403,0.00020898768169394342,0.001525474565990197,0.0019434499293780837
30,0.0017848428573349034,0.00020973223882577306,0.0015751106185091304,0.0019945750961606764
31,0.0018352210430743559,0.00020847680379934742,0.0016267442392750085,0.0020436978468737032
32,0.0018854383753742793,0.00020336814380119062,0.0016820702315730887,0.00208880651917547
33,0.0019317053290202196,0.0002013246317719216,0.001730380697248298,0.0021330299607921414
34,0.0019838282419461007,0.00020110199987528722,0.0017827262420708136,0.002184930241821388
35,0.002034128882516706,0.00019839714151303616,0.0018357317410036698,0.002232526024029742
36,0.0020844760571052806,0.00019799469056763335,0.0018864813665376472,0.002282470747672914
37,0.0021270995253736156,0.00019645082077654472,0.0019306487045970709,0.0023235503461501604
38,0.0021794832853280514,0.00019637249629058035,0.001983110789037471,0.002375855781618632
39,0.0022278193837006106,0.00019540955866322222,0.0020324098250373884,0.0024232289423638327
40,0.0022721482961399753,0.00019340465590784707,0.0020787436402321282,0.0024655529520478223
41,0.0023204434652432716,0.0001900786392399392,0.002130364826003332,0.002510522104483211
42,0.0023747354442708478,0.00018722282545642708,0.0021875126188144207,0.002561958269727275
43,0.002419191078882388,0.0001916438695884531,0.002227547209293935,0.0026108349484708407
44,0.002469580826860762,0.00019099200143755726,0.002278588825423205,0.002660572828298319
45,0.0025196227526796122,0.00018915524706557,0.002330467505614042,0.0027087779997451824
46,0.0025642375284850943,0.00018688435524334283,0.0023773531732417513,0.0027511218837284373
47,0.0026164353119128374,0.00018148288785026925,0.0024349524240625683,0.0027979181997631066
48,0.0026647772646418546,0.00018068060690779077,0.0024840966577340637,0.0028454578715496454
49,0.002711233801339999,0.00018294730865445682,0.0025282864926855424,0.002894181109994456
50,0.002759581225536348,0.0001822295327836828,0.002577351692752665,0.002941810758320031
51,0.0028039899669851237,0.000184172235864389,0.0026198177311207347,0.0029881622028495127
52,0.0028580257711125186,0.00018447656797794038,0.002673549203134578,0.003042502339090459
53,0.002906496268079703,0.00017791914831018812,0.002728577119769515,0.0030844154163898914
54,0.0029509473091800602,0.0001790503109785378,0.0027718969982015226,0.003129997620158598
55,0.002995355564605917,0.0001811181157545902,0.002814237448851327,0.003176473680360507
56,0.0030457343459053127,0.00018107548269692843,0.002864658863208384,0.0032268098286022413
57,0.003096001441876714,0.00017731357407840977,0.0029186878677983042,0.003273315015955124
58,0.003148404753490741,0.00017836617085880424,0.002970038582631937,0.0033267709243495454
59,0.003192973128945742,0.00017412137895013262,0.0030188517499956094,0.003367094507895875
60,0.003235557198258435,0.00017191647230480614,0.0030636407259536287,0.003407473670563241
61,0.003285665371723795,0.00017454357589695676,0.003111121795826838,0.003460208947620752
62,0.003339739723235918,0.00017656875655016406,0.0031631709666857543,0.003516308479786082
63,0.00338419076433627,0.0001779722461087579,0.0032062185182275124,0.003562163010445028
64,0.003432585105825836,0.00018081843537602765,0.0032517666704498086,0.0036134035412018635
65,0.003484788494002278,0.00017563908532815936,0.0033091494086741184,0.0036604275793304373
66,0.0035314281528639356,0.00017582694387544917,0.0033556012089884864,0.0037072550967393847
67,0.003581806824626316,0.00017688589666603336,0.0034049209279602825,0.0037586927212923493
