,Mean,Std,Error1,Error2
0,0.0,0.0,0.0,0.0
1,0.0007000000000000006,0.0008695586380458123,-0.0001695586380458117,0.001569558638045813
2,0.0008866599999999946,0.0009500340930724915,-6.337409307249691e-05,0.0018366940930724862
3,0.0011133399999999848,0.0009188642163018562,0.00019447578369812858,0.002032204216301841
4,0.0015133399999999963,0.0007657899339897448,0.0007475500660102514,0.002279129933989741
5,0.0016800000000000038,0.0007614419807181604,0.0009185580192818434,0.002441441980718164
6,0.0019533400000000035,0.0006702157212420559,0.0012831242787579476,0.0026235557212420596
7,0.0022599799999999948,0.0009830334007550389,0.001276946599244956,0.0032430134007550336
8,0.002433339999999984,0.0009961012890263759,0.001437238710973608,0.00342944128902636
9,0.00259995999999999,0.0009778150249408135,0.0016221449750591767,0.003577775024940804
10,0.0027666800000000213,0.0009778039460955565,0.0017888760539044649,0.0037444839460955776
11,0.002926659999999992,0.0009802133558567934,0.0019464466441431985,0.003906873355856785
12,0.0031266600000000033,0.0009648116697055369,0.0021618483302944663,0.00409147166970554
13,0.0033066400000000052,0.0009595875275346207,0.0023470524724653846,0.004266227527534626
14,0.003479999999999983,0.0009725710488185466,0.0025074289511814365,0.00445257104881853
15,0.003693339999999978,0.000949375585845782,0.002743964414154196,0.00464271558584576
16,0.003873320000000002,0.0009593291650940331,0.002913990834905969,0.004832649165094035
17,0.004033319999999984,0.0009623662982461877,0.0030709537017537965,0.004995686298246172
18,0.00419333999999999,0.0009450276916577677,0.003248312308342222,0.0051383676916577576
19,0.00434667999999998,0.0009367924594060379,0.0034098875405939423,0.005283472459406018
20,0.004519999999999991,0.0009334982003196521,0.003586501799680339,0.005453498200319643
21,0.004693319999999978,0.0009479221734931728,0.0037453978265068054,0.005641242173493151
22,0.004873320000000014,0.0009432398088503496,0.0039300801911496645,0.005816559808850364
23,0.005046680000000014,0.0009517799703713173,0.004094900029628697,0.005998459970371331
24,0.005213339999999988,0.0009555858009619101,0.004257754199038078,0.006168925800961898
25,0.00536667999999999,0.0009475128268261185,0.004419167173173872,0.006314192826826108
26,0.005546640000000003,0.000940015248812505,0.004606624751187498,0.006486655248812508
27,0.005700020000000005,0.0009437210641921922,0.004756298935807813,0.0066437410641921974
28,0.0058533200000000065,0.0009512095231861649,0.004902110476813841,0.006804529523186172
29,0.006006700000000009,0.0009618858794056707,0.005044814120594338,0.00696858587940568
30,0.0061800000000000075,0.000963947324805685,0.005216052675194323,0.007143947324805692
31,0.006353320000000007,0.0009608084574981637,0.005392511542501843,0.007314128457498171
32,0.006526680000000007,0.0009520266104474664,0.00557465338955254,0.007478706610447474
33,0.00668666,0.0009538129916288522,0.005732847008371148,0.007640472991628852
34,0.0068666599999999915,0.0009606138105399582,0.0059060461894600335,0.00782727381053995
35,0.007040000000000002,0.0009560982637783856,0.006083901736221617,0.007996098263778388
36,0.00721333999999999,0.0009555858009619101,0.00625775419903808,0.0081689258009619
37,0.00736,0.0009508586777224108,0.006409141322277589,0.00831085867772241
38,0.007540020000000003,0.0009473508098904483,0.006592669190109555,0.008487370809890451
39,0.0077066399999999756,0.0009473374388252698,0.006759302561174706,0.008653977438825245
40,0.007860000000000011,0.0009508586777224312,0.00690914132227758,0.008810858677722442
41,0.008026640000000007,0.0009470243465719765,0.0070796156534280305,0.008973664346571984
42,0.00821333999999999,0.0009368154103130463,0.007276524589686945,0.009150155410313037
43,0.008366660000000003,0.0009507424009688488,0.007415917599031155,0.009317402400968853
44,0.008540020000000004,0.0009473508098904483,0.0075926691901095555,0.009487370809890452
45,0.008713339999999991,0.0009555945233204697,0.007757745476679521,0.00966893452332046
46,0.008866680000000005,0.000945748675389009,0.007920931324610997,0.009812428675389014
47,0.009046660000000007,0.0009350262632675224,0.008111633736732484,0.00998168626326753
48,0.00921329999999999,0.0009350068341996522,0.008278293165800338,0.010148306834199643
49,0.009373339999999997,0.0009411650004117325,0.008432174999588265,0.01031450500041173
50,0.009540000000000015,0.0009411795206017192,0.008598820479398295,0.010481179520601736
51,0.009693319999999983,0.0009508457062005452,0.008742474293799438,0.010644165706200527
52,0.00987998,0.0009587640204972739,0.008921215979502727,0.010838744020497273
53,0.010046659999999995,0.0009382952642958557,0.009108364735704139,0.010984955264295852
54,0.01020000000000001,0.0009445604506859465,0.009255439549314064,0.011144560450685955
55,0.01035332000000001,0.0009544230964305104,0.009398896903569499,0.01130774309643052
56,0.010526640000000009,0.0009508353658757249,0.009575804634124285,0.011477475365875733
57,0.01070002000000001,0.0009446036798573436,0.009755416320142665,0.011644623679857354
58,0.010879980000000001,0.0009379887483334112,0.00994199125166659,0.011817968748333412
59,0.011033320000000003,0.0009240568770373767,0.010109263122962626,0.011957376877037379
60,0.011180000000000013,0.0009173333963178313,0.01026266660368218,0.012097333396317845
61,0.01135335999999999,0.0009347104728203356,0.010418649527179654,0.012288070472820324
62,0.011540000000000005,0.0009444272232417304,0.010595572776758275,0.012484427223241735
63,0.011693339999999997,0.0009508265998592973,0.010742513400140699,0.012644166599859294
64,0.011859999999999992,0.0009552271405273692,0.010904772859472623,0.01281522714052736
65,0.012039999999999995,0.0009444272232417035,0.011095572776758291,0.0129844272232417
66,0.012199979999999989,0.0009312604963167141,0.011268719503683274,0.013131240496316704
67,0.012373300000000021,0.000928072375949222,0.0114452276240508,0.013301372375949243
68,0.01252667999999999,0.0009520266104474185,0.011574653389552571,0.013478706610447408
69,0.012686660000000006,0.0009494380222004901,0.011737221977799516,0.013636098022200496
70,0.012873319999999999,0.0009411784591670603,0.011932141540832938,0.01381449845916706
