Time,Force,Stroke
0,-0.0149409,0
0.01,-0.01390775,0
0.02,-0.01319249,3.333333E-05
0.03,-0.01351039,3.333333E-05
0.04,-0.01390775,0.0001
0.05,-0.01319249,0.0001666667
0.06,-0.01215935,0.0002666667
0.07,-0.01160304,0.0005
0.08,-0.01120567,0.0008333334
0.09,-0.01064936,0.001133333
0.1,-0.01096725,0.0014
0.11,-0.01223882,0.0016
0.12,-0.01390775,0.0018
0.13,-0.01486142,0.002
0.14,-0.01486142,0.0022
0.15,-0.01446406,0.002366667
0.16,-0.01470248,0.002566667
0.17,-0.0149409,0.002766667
0.18,-0.01470248,0.002933333
0.19,-0.01446406,0.003066667
0.2,-0.01470248,0.003233333
0.21,-0.01446406,0.003333333
0.22,-0.01311302,0.0035
0.23,-0.0120004,0.003666667
0.24,-0.01223882,0.003833333
0.25,-0.01279513,0.003966667
0.26,-0.01271566,0.004166667
0.27,-0.01271566,0.004366667
0.28,-0.01311302,0.004533333
0.29,-0.01351039,0.0047
0.3,-0.01351039,0.004866667
0.31,-0.01295408,0.005
0.32,-0.01239777,0.0052
0.33,-0.0120004,0.005366667
0.34,-0.01160304,0.005566667
0.35,-0.01144409,0.005733334
0.36,-0.0120004,0.0059
0.37,-0.01311302,0.006066667
0.38,-0.01414617,0.006233334
0.39,-0.01454353,0.0064
0.4,-0.01398722,0.006566667
0.41,-0.01295408,0.006733333
0.42,-0.01215935,0.0069
0.43,-0.01215935,0.007066667
0.44,-0.01335144,0.007233333
0.45,-0.01470248,0.0074
0.46,-0.01454353,0.007566667
0.47,-0.01335144,0.007766667
0.48,-0.01295408,0.007933334
0.49,-0.01351039,0.008066666
0.5,-0.01351039,0.008266667
0.51,-0.01271566,0.0084
0.52,-0.0120004,0.008566666
0.53,-0.0120004,0.008733333
0.54,-0.0120004,0.0089
0.55,-0.01184146,0.009066666
0.56,-0.01223882,0.009233333
0.57,-0.01311302,0.009433334
0.58,-0.01374881,0.0096
0.59,-0.01351039,0.009766667
0.6,-0.01271566,0.0099
0.61,-0.01223882,0.01006667
0.62,-0.01239777,0.01023333
0.63,-0.01239777,0.0104
0.64,-0.01215935,0.01056667
0.65,-0.01223882,0.01073333
0.66,-0.01295408,0.0109
0.67,-0.01335144,0.0111
0.68,-0.01279513,0.01126667
0.69,-0.01239777,0.01143333
0.7,-0.01319249,0.01156667
0.71,-0.01430511,0.01176667
0.72,-0.01398722,0.01193333
0.73,-0.01295408,0.01206667
0.74,-0.01239777,0.01223333
0.75,-0.01271566,0.0124
0.76,-0.01295408,0.0126
0.77,-0.01311302,0.01276667
0.78,-0.01374881,0.01286667
0.79,-0.01446406,0.01306667
0.8,-0.01454353,0.01323333
0.81,-0.01358986,0.0134
0.82,-0.01271566,0.0136
0.83,-0.01311302,0.01376667
0.84,-0.01454353,0.01393333
0.85,-0.01525879,0.01406667
0.86,-0.01430511,0.01423333
0.87,-0.01319249,0.0144
0.88,-0.01311302,0.01456667
0.89,-0.01358986,0.01473333
0.9,-0.01351039,0.0149
0.91,-0.01279513,0.01506667
0.92,-0.01279513,0.01523333
0.93,-0.01319249,0.01543333
0.94,-0.01295408,0.0156
0.95,-0.01184146,0.01573333
0.96,-0.01096725,0.01593333
0.97,-0.01096725,0.0161
0.98,-0.01144409,0.01623333
0.99,-0.01223882,0.0164
1,-0.01295408,0.01653333
1.01,-0.01358986,0.01673333
1.02,-0.01374881,0.0169
1.03,-0.01311302,0.01713333
1.04,-0.01215935,0.01726667
1.05,-0.01184146,0.01743333
1.06,-0.01279513,0.0176
1.07,-0.01390775,0.0178
1.08,-0.01358986,0.01793333
1.09,-0.01255671,0.0181
1.1,-0.01223882,0.01826667
1.11,-0.01311302,0.01843333
1.12,-0.01319249,0.0186
1.13,-0.01223882,0.0188
1.14,-0.01184146,0.01896667
1.15,-0.01215935,0.01913333
1.16,-0.01184146,0.01926667
1.17,-0.01136462,0.0194
1.18,-0.01184146,0.0196
1.19,-0.01351039,0.01976667
1.2,-0.01430511,0.01993333
1.21,-0.01319249,0.02013333
1.22,-0.01184146,0.02026667
1.23,-0.01184146,0.02043333
1.24,-0.01279513,0.0206
1.25,-0.01319249,0.02073333
1.26,-0.01295408,0.0209
1.27,-0.01319249,0.02106667
