Time,Force,Stroke
0,7.947286E-05,0
0.01,0.0003973643,0
0.02,0.001033147,3.333333E-05
0.03,0.001430511,6.666667E-05
0.04,0.001271566,0.0001
0.05,0.0008742015,0.0002333333
0.06,0.0006357829,0.0005666667
0.07,0.0003973643,0.0008666667
0.08,-7.947286E-05,0.001133333
0.09,7.947286E-05,0.001333333
0.1,0.0004768372,0.001533333
0.11,0.0006357829,0.001733333
0.12,0.0004768372,0.001933333
0.13,0.0004768372,0.002133333
0.14,0.0006357829,0.0023
0.15,0.0004768372,0.0025
0.16,7.947286E-05,0.002633333
0.17,7.947286E-05,0.0028
0.18,0.0002384186,0.002966667
0.19,7.947286E-05,0.003133333
0.2,-0.0003178914,0.003266667
0.21,-0.0004768372,0.003433333
0.22,-7.947286E-05,0.0036
0.23,0.0002384186,0.003766667
0.24,-0.0004768372,0.003933333
0.25,-0.001907349,0.0041
0.26,-0.002861023,0.0043
0.27,-0.002861023,0.004466667
0.28,-0.002066294,0.004633334
0.29,-0.001351039,0.004833333
0.3,-0.0004768372,0.005
0.31,0.0008742015,0.005166667
0.32,0.001430511,0.005333333
0.33,0.0007947286,0.005466667
0.34,-7.947286E-05,0.005633333
0.35,-0.0001589457,0.005766667
0.36,-0.0001589457,0.005966667
0.37,-0.0008742015,0.006133333
0.38,-0.00166893,0.0063
0.39,-0.00166893,0.0065
0.4,-0.0008742015,0.006666667
0.41,-0.00055631,0.006833334
0.42,-0.0009536743,0.006966667
0.43,-0.00166893,0.0071
0.44,-0.001907349,0.007266667
0.45,-0.001907349,0.007433333
0.46,-0.001907349,0.007633334
0.47,-0.002066294,0.0078
0.48,-0.001907349,0.007966666
0.49,-0.001907349,0.008166667
0.5,-0.002622604,0.0083
0.51,-0.003417333,0.008466667
0.52,-0.003417333,0.008633333
0.53,-0.002463659,0.008833334
0.54,-0.001271566,0.008966667
0.55,-0.0009536743,0.009133333
0.56,-0.001351039,0.0093
0.57,-0.001509984,0.009466667
0.58,-0.001509984,0.009633333
0.59,-0.001509984,0.0098
0.6,-0.00166893,0.009966667
0.61,-0.00166893,0.01013333
0.62,-0.001907349,0.0103
0.63,-0.002622604,0.0105
0.64,-0.003417333,0.01063333
0.65,-0.003655751,0.0108
0.66,-0.003019969,0.01096667
0.67,-0.00222524,0.01113333
0.68,-0.001907349,0.0113
0.69,-0.001748403,0.01146667
0.7,-0.001748403,0.0116
0.71,-0.002463659,0.01176667
0.72,-0.002861023,0.01196667
0.73,-0.002066294,0.01216667
0.74,-0.0004768372,0.01233333
0.75,0.0006357829,0.01246667
0.76,0.0002384186,0.0126
0.77,-0.0007152557,0.0128
0.78,-0.00111262,0.01296667
0.79,-0.001509984,0.01313333
0.8,-0.001907349,0.0133
0.81,-0.00222524,0.01346667
0.82,-0.00166893,0.01363333
0.83,-0.00111262,0.01383333
0.84,-0.001351039,0.014
0.85,-0.00222524,0.01416667
0.86,-0.002463659,0.0143
0.87,-0.00222524,0.01446667
0.88,-0.002066294,0.01463333
0.89,-0.002304713,0.0148
0.9,-0.002463659,0.01496667
0.91,-0.002304713,0.0151
0.92,-0.002304713,0.01526667
0.93,-0.001748403,0.01543333
0.94,-0.0003178914,0.0156
0.95,0.0007947286,0.0158
0.96,0.0008742015,0.01596667
0.97,7.947286E-05,0.01613333
0.98,-0.0001589457,0.0163
0.99,0.0002384186,0.01646667
1,0.0002384186,0.01663333
1.01,-0.0009536743,0.0168
1.02,-0.001748403,0.01696667
1.03,-0.0008742015,0.01713333
1.04,0.0004768372,0.01726667
1.05,0.0004768372,0.0174
1.06,-0.0007152557,0.0176
1.07,-0.001271566,0.0178
1.08,-0.0008742015,0.01796667
1.09,-0.001271566,0.0181
1.1,-0.002622604,0.0183
1.11,-0.003417333,0.01846667
1.12,-0.003099442,0.01863333
1.13,-0.00222524,0.0188
1.14,-0.001351039,0.01896667
1.15,-0.00055631,0.01913333
1.16,0.0003973643,0.0193
1.17,0.001192093,0.01946667
1.18,0.001192093,0.01963333
1.19,7.947286E-05,0.01983333
1.2,-0.0009536743,0.01996667
1.21,-0.001271566,0.02016667
1.22,-0.001271566,0.0203
1.23,-0.001271566,0.02046667
1.24,-0.0008742015,0.0206
1.25,-7.947286E-05,0.02076667
1.26,0.0006357829,0.02096667
1.27,0.0008742015,0.0211
1.28,0.0006357829,0.02126667
1.29,7.947286E-05,0.02143333
1.3,-0.0004768372,0.02163333
1.31,-0.00055631,0.02176667
1.32,-0.0001589457,0.02193333
1.33,0.0003973643,0.02213333
1.34,7.947286E-05,0.0223
1.35,-0.00111262,0.02246667
1.36,-0.00222524,0.02263333
1.37,-0.002304713,0.02283333
1.38,-0.002066294,0.02296667
