Time,Force,Stroke
0,-0.003417333,0
0.01,-0.005245209,0
0.02,-0.004847845,3.333333E-05
0.03,-0.003019969,6.666667E-05
0.04,-0.002463659,0.0001
0.05,-0.003258387,0.0002
0.06,-0.003099442,0.0004333333
0.07,-0.002066294,0.0008
0.08,-0.002304713,0.001066667
0.09,-0.003417333,0.0013
0.1,-0.002861023,0.001466667
0.11,-0.001271566,0.001666667
0.12,-0.001351039,0.001866667
0.13,-0.003258387,0.002066667
0.14,-0.003973643,0.002266667
0.15,-0.002304713,0.002433333
0.16,-0.0008742015,0.0026
0.17,-0.001271566,0.0028
0.18,-0.002304713,0.002966667
0.19,-0.002463659,0.003133333
0.2,-0.00222524,0.0033
0.21,-0.002463659,0.003466667
0.22,-0.003258387,0.003633333
0.23,-0.003019969,0.003766667
0.24,-0.001907349,0.003933333
0.25,-0.002066294,0.0041
0.26,-0.003655751,0.004266667
0.27,-0.00445048,0.004433333
0.28,-0.003258387,0.0046
0.29,-0.001907349,0.004766667
0.3,-0.001509984,0.004933333
0.31,-0.00166893,0.005133334
0.32,-0.001509984,0.005266667
0.33,-0.001351039,0.005466667
0.34,-0.001748403,0.005633333
0.35,-0.002463659,0.0058
0.36,-0.00222524,0.005966667
0.37,-0.00166893,0.0061
0.38,-0.00222524,0.006266667
0.39,-0.002861023,0.006433333
0.4,-0.002702077,0.0066
0.41,-0.002304713,0.006766667
0.42,-0.002861023,0.006933333
0.43,-0.003655751,0.0071
0.44,-0.003417333,0.007266667
0.45,-0.002066294,0.007466667
0.46,-0.001271566,0.007633334
0.47,-0.002066294,0.0078
0.48,-0.003417333,0.007933334
0.49,-0.004212061,0.0081
0.5,-0.004212061,0.008266667
0.51,-0.004371007,0.008466667
0.52,-0.004053116,0.0086
0.53,-0.003496806,0.008766667
0.54,-0.003099442,0.008933334
0.55,-0.003814697,0.0091
0.56,-0.005245209,0.009266667
0.57,-0.0055631,0.009466667
0.58,-0.004371007,0.009633333
0.59,-0.003019969,0.0098
0.6,-0.002702077,0.009933334
0.61,-0.002622604,0.0101
0.62,-0.00222524,0.0103
0.63,-0.002066294,0.01046667
0.64,-0.002702077,0.0106
0.65,-0.003655751,0.01076667
0.66,-0.003496806,0.01096667
0.67,-0.002861023,0.0111
0.68,-0.002622604,0.01126667
0.69,-0.002702077,0.01143333
0.7,-0.002304713,0.0116
0.71,-0.00222524,0.01176667
0.72,-0.003099442,0.01196667
0.73,-0.004371007,0.0121
0.74,-0.00445048,0.01226667
0.75,-0.00445048,0.01243333
0.76,-0.00500679,0.01263333
