Time,Force,Stroke
0,-0.0003178914,0
0.01,-0.0007152557,0
0.02,-0.00055631,3.333333E-05
0.03,-0.0001589457,3.333333E-05
0.04,0.0002384186,0.0001
0.05,0.0004768372,0.0002
0.06,0.0003973643,0.0005
0.07,0.0004768372,0.0008
0.08,0.001589457,0.0011
0.09,0.002543132,0.001333333
0.1,0.002384186,0.001533333
0.11,0.001430511,0.001733333
0.12,0.001430511,0.0019
0.13,0.002622604,0.0021
0.14,0.00278155,0.002266667
0.15,0.001271566,0.002433333
0.16,-0.0001589457,0.002633333
0.17,7.947286E-05,0.0028
0.18,0.001271566,0.002966667
0.19,0.00166893,0.003133333
0.2,0.0006357829,0.0033
0.21,-0.0007152557,0.003466667
0.22,-0.0009536743,0.003633333
0.23,7.947286E-05,0.003766667
0.24,0.001589457,0.003966667
0.25,0.002384186,0.004133333
0.26,0.002384186,0.0043
0.27,0.001589457,0.004466667
0.28,0.0008742015,0.0046
0.29,0.001033147,0.004766667
0.3,0.00166893,0.004933333
0.31,0.001589457,0.0051
0.32,0.0007947286,0.0053
0.33,0.0002384186,0.005466667
0.34,-0.0001589457,0.0056
0.35,-0.00111262,0.005766667
0.36,-0.002861023,0.005933333
0.37,-0.003655751,0.006133333
0.38,-0.002702077,0.006266667
0.39,-0.001748403,0.006433333
0.4,-0.001748403,0.0066
0.41,-0.001351039,0.006766667
0.42,-0.00055631,0.006933333
0.43,-7.947286E-05,0.0071
0.44,-0.0001589457,0.007266667
0.45,-0.0007152557,0.007433333
0.46,-0.00055631,0.007633334
0.47,-0.0004768372,0.0078
0.48,-0.0008742015,0.007966666
0.49,-0.001509984,0.0081
0.5,-0.001351039,0.008266667
0.51,-0.0004768372,0.008433334
0.52,-0.0003178914,0.008633333
0.53,-0.0007152557,0.008766667
0.54,-0.00055631,0.008933334
0.55,0.0002384186,0.0091
0.56,-7.947286E-05,0.009266667
0.57,-0.001509984,0.009433334
0.58,-0.002066294,0.009633333
0.59,-0.00055631,0.0098
0.6,0.0006357829,0.009966667
0.61,0.0002384186,0.0101
0.62,-0.0004768372,0.01026667
0.63,0.0006357829,0.01043333
0.64,0.00166893,0.0106
0.65,0.0004768372,0.01076667
0.66,-0.001907349,0.01093333
0.67,-0.002622604,0.0111
0.68,-0.0009536743,0.0113
0.69,0.0008742015,0.01146667
0.7,0.00166893,0.01163333
0.71,0.002145767,0.0118
0.72,0.002145767,0.01193333
0.73,0.001271566,0.01213333
0.74,-0.0001589457,0.0123
0.75,-0.0009536743,0.01246667
0.76,-0.0004768372,0.01263333
0.77,0.0003973643,0.0128
0.78,0.0002384186,0.01296667
0.79,-0.0007152557,0.0131
0.8,7.947286E-05,0.01326667
0.81,0.00222524,0.01343333
0.82,0.003019969,0.01363333
0.83,0.001430511,0.0138
0.84,-0.00055631,0.01396667
0.85,-0.001271566,0.0141
0.86,-0.0009536743,0.01426667
0.87,-0.00111262,0.01443333
0.88,-0.001351039,0.01463333
0.89,-0.00111262,0.0148
0.9,-0.0003178914,0.01496667
0.91,7.947286E-05,0.01513333
0.92,0.0003973643,0.0153
0.93,0.0008742015,0.01546667
0.94,0.001033147,0.01563333
0.95,0.0002384186,0.0158
0.96,-0.0008742015,0.01596667
0.97,-0.0009536743,0.01613333
0.98,-7.947286E-05,0.0163
0.99,0.0006357829,0.0165
1,7.947286E-05,0.01663333
1.01,-7.947286E-05,0.0168
1.02,0.0008742015,0.01696667
1.03,0.001589457,0.01713333
1.04,0.001271566,0.01726667
1.05,0.001033147,0.01743333
1.06,0.0008742015,0.0176
1.07,0.0006357829,0.0178
1.08,7.947286E-05,0.01796667
1.09,0.0002384186,0.01813333
1.1,0.0008742015,0.01833333
1.11,0.001033147,0.01846667
1.12,0.0007947286,0.01863333
1.13,0.0006357829,0.0188
1.14,0.001192093,0.01893333
1.15,0.001430511,0.0191
1.16,0.0008742015,0.01926667
1.17,0.0002384186,0.01943333
1.18,0.0002384186,0.0196
1.19,0.0008742015,0.0198
1.2,0.001271566,0.01996667
1.21,0.0004768372,0.02013333
1.22,-0.00055631,0.0203
1.23,-0.0004768372,0.02046667
1.24,0.0004768372,0.02063333
1.25,0.001192093,0.02076667
1.26,0.0008742015,0.02096667
1.27,0.0003973643,0.02113333
1.28,-0.0001589457,0.0213
1.29,-0.0003178914,0.02146667
1.3,-0.0003178914,0.0216
1.31,-0.0001589457,0.0218
1.32,-0.0003178914,0.02196667
1.33,-0.00055631,0.02213333
1.34,-0.0003178914,0.0223
1.35,0.0002384186,0.02243333
1.36,0.0006357829,0.0226
1.37,0.0007947286,0.02276667
1.38,0.0006357829,0.02296667
1.39,0.0004768372,0.0231
1.4,0.001033147,0.0233
1.41,0.001827876,0.02343333
1.42,0.001827876,0.0236
1.43,0.0008742015,0.02376667
1.44,0.0003973643,0.02393333
1.45,0.001033147,0.0241
1.46,0.001827876,0.0243
1.47,0.001589457,0.02446667
1.48,0.0008742015,0.02463333
1.49,0.0004768372,0.02476667
1.5,-0.0001589457,0.02496667
1.51,-0.001271566,0.02513333
1.52,-0.00166893,0.0253
1.53,-0.001351039,0.02543333
1.54,-0.001271566,0.0256
1.55,-0.001748403,0.0258
1.56,-0.00222524,0.02596667
1.57,-0.00166893,0.02613333
1.58,-0.0004768372,0.0263
1.59,-0.00055631,0.02646667
1.6,-0.00166893,0.0266
1.61,-0.001748403,0.02673333
1.62,-0.00055631,0.02693333
1.63,-7.947286E-05,0.0271
1.64,-0.0007152557,0.02726667
1.65,-0.00111262,0.02746667
1.66,-0.0004768372,0.02766667
1.67,0.0002384186,0.0278
1.68,-0.0001589457,0.02793333
1.69,-0.00055631,0.0281
1.7,0.0002384186,0.02826667
1.71,0.001827876,0.02843333
1.72,0.00278155,0.0286
1.73,0.002543132,0.0288
1.74,0.001986821,0.02896667
1.75,0.001986821,0.02916667
1.76,0.001589457,0.0293
1.77,0.0007947286,0.02946667
1.78,0.0003973643,0.02963333
1.79,0.0007947286,0.02983333
1.8,0.001430511,0.02996667
1.81,0.001192093,0.0301
1.82,0.0003973643,0.03026667
1.83,0.0002384186,0.03043333
1.84,0.001192093,0.03063333
1.85,0.00166893,0.0308
1.86,0.001192093,0.03096667
1.87,0.001033147,0.03113333
1.88,0.00166893,0.0313
1.89,0.002384186,0.03146667
1.9,0.001827876,0.03166667
1.91,0.001271566,0.03183333
1.92,0.001430511,0.03196667
1.93,0.001827876,0.03213333
1.94,0.00166893,0.0323
1.95,0.00166893,0.03246667
1.96,0.00278155,0.03263333
1.97,0.004291534,0.0328
1.98,0.004132589,0.03296667
1.99,0.002543132,0.0331
2,0.00166893,0.03326667
2.01,0.002145767,0.03346667
2.02,0.002622604,0.03363333
2.03,0.00222524,0.0338
2.04,0.00166893,0.03396667
2.05,0.00166893,0.03413333
2.06,0.001827876,0.0343
2.07,0.00166893,0.03446667
2.08,0.001192093,0.0346
2.09,0.001033147,0.0348
2.1,0.001192093,0.03496667
2.11,0.001033147,0.03513333
2.12,0.0008742015,0.03533334
2.13,0.001271566,0.0355
2.14,0.002145767,0.03563333
2.15,0.002543132,0.03576667
2.16,0.002145767,0.03593333
2.17,0.001827876,0.0361
2.18,0.001430511,0.0363
2.19,7.947286E-05,0.03643334
2.2,-0.001907349,0.03663334
2.21,-0.002861023,0.03676667
2.22,-0.001748403,0.03696667
2.23,-0.0003178914,0.03713333
2.24,0.0003973643,0.0373
2.25,0.0006357829,0.03746667
2.26,0.001192093,0.03763333
2.27,0.001033147,0.0378
2.28,0.0002384186,0.03793333
2.29,-7.947286E-05,0.0381
2.3,0.0004768372,0.0383
2.31,0.0008742015,0.03846667
2.32,0.001192093,0.03863334
2.33,0.00166893,0.0388
2.34,0.002622604,0.03896667
2.35,0.003019969,0.03913333
2.36,0.002145767,0.03926667
2.37,0.001033147,0.03943333
2.38,0.001271566,0.0396
2.39,0.001986821,0.0398
2.4,0.001271566,0.03996667
2.41,0.0002384186,0.04013333
2.42,0.0004768372,0.0403
2.43,0.002145767,0.04043333
2.44,0.00278155,0.0406
2.45,0.001827876,0.04076667
2.46,0.001430511,0.04096667
2.47,0.002622604,0.04113333
2.48,0.00389417,0.0413
2.49,0.002622604,0.04146667
2.5,0.0006357829,0.04163333
2.51,0.0003973643,0.04176667
2.52,0.001589457,0.04193334
2.53,0.001827876,0.0421
2.54,0.001033147,0.04226667
2.55,0.0004768372,0.04243333
2.56,0.001033147,0.04263333
2.57,0.00166893,0.0428
2.58,0.001271566,0.04296667
2.59,0.0006357829,0.0431
2.6,0.0008742015,0.04326667
2.61,0.001827876,0.04346667
2.62,0.001986821,0.0436
2.63,0.001192093,0.04376667
2.64,0.0008742015,0.04396667
2.65,0.001033147,0.04413334
2.66,0.001430511,0.04426667
2.67,0.001430511,0.04443333
2.68,0.00166893,0.0446
2.69,0.001986821,0.04476667
2.7,0.002145767,0.04493333
2.71,0.001192093,0.0451
2.72,0.0003973643,0.04526667
2.73,0.0006357829,0.04543334
2.74,0.00166893,0.0456
2.75,0.002145767,0.04576667
2.76,0.001271566,0.04593333
2.77,0.0006357829,0.0461
2.78,0.0007947286,0.04626667
2.79,0.0003973643,0.04643333
2.8,-0.0007152557,0.0466
2.81,-0.001351039,0.04676667
2.82,-0.0008742015,0.04696667
2.83,7.947286E-05,0.0471
2.84,0.0004768372,0.04726667
2.85,0.0002384186,0.04743334
2.86,7.947286E-05,0.0476
2.87,0.0003973643,0.04776667
2.88,0.0006357829,0.04796667
2.89,0.0003973643,0.0481
2.9,0.0006357829,0.04826667
2.91,0.001430511,0.04843333
2.92,0.001589457,0.0486
2.93,0.001271566,0.04876667
2.94,0.001430511,0.04893333
2.95,0.00222524,0.0491
2.96,0.00222524,0.04926667
2.97,0.0008742015,0.04943334
2.98,-0.0004768372,0.0496
2.99,-0.0001589457,0.04976667
3,0.001033147,0.04993333
3.01,0.001271566,0.0501
3.02,0.0003973643,0.05026667
3.03,-7.947286E-05,0.05043333
3.04,0.0007947286,0.0506
3.05,0.001589457,0.05076667
3.06,0.001827876,0.0509
3.07,0.00166893,0.05106667
3.08,0.001430511,0.05123333
3.09,0.0008742015,0.05143333
3.1,0.0008742015,0.0516
3.11,0.00166893,0.05176667
3.12,0.002543132,0.05193333
3.13,0.00278155,0.0521
3.14,0.002145767,0.05226667
