Time,Force,Stroke
0,-0.002066294,0
0.01,-0.002463659,0
0.02,-0.003099442,3.333333E-05
0.03,-0.003814697,6.666667E-05
0.04,-0.003496806,0.0001
0.05,-0.002861023,0.0002
0.06,-0.002304713,0.0005
0.07,-0.001907349,0.0008666667
0.08,-0.001907349,0.0011
0.09,-0.00222524,0.001333333
0.1,-0.002702077,0.001533333
0.11,-0.003099442,0.001733333
0.12,-0.003417333,0.001966667
0.13,-0.003496806,0.0021
0.14,-0.003417333,0.0023
0.15,-0.003258387,0.0025
0.16,-0.003496806,0.002666667
0.17,-0.003814697,0.0028
0.18,-0.003099442,0.002966667
0.19,-0.001907349,0.003133333
0.2,-0.00166893,0.0033
0.21,-0.002622604,0.003433333
0.22,-0.003973643,0.003633333
0.23,-0.00445048,0.0038
0.24,-0.004212061,0.003933333
0.25,-0.003973643,0.004133333
0.26,-0.004053116,0.0043
0.27,-0.003814697,0.004466667
0.28,-0.002622604,0.004633334
0.29,-0.00166893,0.0048
0.3,-0.001748403,0.004966667
0.31,-0.002622604,0.005133334
0.32,-0.002702077,0.0053
0.33,-0.002463659,0.005466667
0.34,-0.002702077,0.005633333
0.35,-0.003019969,0.005833333
0.36,-0.002702077,0.006
0.37,-0.00222524,0.006166667
0.38,-0.001907349,0.0063
0.39,-0.002066294,0.006466667
0.4,-0.002066294,0.006633333
0.41,-0.00222524,0.0068
0.42,-0.002463659,0.006966667
0.43,-0.002463659,0.007133333
0.44,-0.00222524,0.0073
0.45,-0.002066294,0.007466667
0.46,-0.003019969,0.007633334
0.47,-0.004212061,0.0078
0.48,-0.00445048,0.007966666
0.49,-0.003973643,0.0081
0.5,-0.003655751,0.008266667
0.51,-0.004609426,0.008466667
0.52,-0.005404154,0.008666667
0.53,-0.004609426,0.0088
0.54,-0.003019969,0.008966667
0.55,-0.002304713,0.009133333
0.56,-0.002861023,0.0093
0.57,-0.003655751,0.0095
0.58,-0.003814697,0.009666666
0.59,-0.003814697,0.009833333
0.6,-0.003814697,0.009966667
0.61,-0.003814697,0.0101
0.62,-0.003496806,0.01026667
0.63,-0.003814697,0.01043333
0.64,-0.004609426,0.01063333
0.65,-0.00500679,0.01076667
0.66,-0.004768372,0.01093333
0.67,-0.004768372,0.01113333
0.68,-0.004609426,0.01133333
0.69,-0.003099442,0.01146667
0.7,-0.001351039,0.01163333
0.71,-0.001271566,0.01176667
0.72,-0.002463659,0.01193333
0.73,-0.003258387,0.0121
0.74,-0.002861023,0.0123
