Time,Force,Stroke
0,-0.0007152557,0
0.01,-0.0001589457,0
0.02,-0.0001589457,0
0.03,-0.00055631,6.666667E-05
0.04,-0.0008742015,0.0001
0.05,-0.0008742015,0.0001666667
0.06,-0.0009536743,0.0004
0.07,-0.00111262,0.0007
0.08,-0.0008742015,0.0009666667
0.09,0.0002384186,0.001233333
0.1,0.0008742015,0.0014
0.11,7.947286E-05,0.001633333
0.12,-0.001271566,0.001866667
0.13,-0.001509984,0.002033333
0.14,-0.00111262,0.0022
0.15,-0.0007152557,0.0024
0.16,-0.0008742015,0.002566667
0.17,-0.001351039,0.0027
0.18,-0.00166893,0.002866667
0.19,-0.00166893,0.002966667
0.2,-0.00166893,0.003133333
0.21,-0.00166893,0.0033
0.22,-0.001351039,0.003466667
0.23,-0.0008742015,0.003666667
0.24,-0.0003178914,0.003833333
0.25,-7.947286E-05,0.004
0.26,-0.0003178914,0.004166667
0.27,-0.0009536743,0.004333334
0.28,-0.0008742015,0.0045
0.29,7.947286E-05,0.0047
0.3,0.0007947286,0.004833333
0.31,0.0006357829,0.005
0.32,0.0003973643,0.0052
0.33,0.0008742015,0.005333333
0.34,0.001271566,0.0055
0.35,0.0008742015,0.005666667
0.36,-0.0001589457,0.005833333
0.37,-0.0008742015,0.006033333
0.38,-0.00055631,0.006233334
0.39,-0.0001589457,0.0064
0.4,-0.0004768372,0.006533334
0.41,-0.0008742015,0.0067
0.42,-0.00111262,0.006833334
0.43,-0.0009536743,0.007033333
0.44,-0.00055631,0.007233333
0.45,-0.0004768372,0.007433333
0.46,7.947286E-05,0.0076
0.47,0.0006357829,0.007733333
0.48,0.0006357829,0.007866667
0.49,-0.0003178914,0.008033333
0.5,-0.0009536743,0.0082
0.51,-0.0004768372,0.008366667
0.52,0.0006357829,0.008533333
0.53,0.001192093,0.008733333
0.54,0.001033147,0.0089
0.55,0.001192093,0.0091
0.56,0.001271566,0.0093
0.57,0.001192093,0.009433334
0.58,0.0007947286,0.009633333
0.59,0.0007947286,0.009766667
0.6,0.001271566,0.009933334
0.61,0.001271566,0.0101
0.62,0.0004768372,0.01026667
0.63,-0.0003178914,0.01043333
0.64,-7.947286E-05,0.0106
0.65,0.0006357829,0.01076667
0.66,0.0007947286,0.01093333
0.67,0.0003973643,0.01106667
0.68,0.0002384186,0.01126667
0.69,0.0003973643,0.01146667
0.7,0.0004768372,0.01163333
0.71,0.0003973643,0.01176667
0.72,0.0007947286,0.01193333
0.73,0.001430511,0.0121
0.74,0.00166893,0.01226667
0.75,0.001033147,0.0124
0.76,-0.0001589457,0.01256667
0.77,-0.00111262,0.01273333
0.78,-0.00111262,0.0129
0.79,-0.0001589457,0.01306667
0.8,0.001033147,0.01323333
0.81,0.001589457,0.0134
0.82,0.001033147,0.01356667
0.83,-0.0001589457,0.01376667
0.84,-0.0008742015,0.01393333
0.85,-0.0001589457,0.0141
0.86,0.001033147,0.01426667
0.87,0.001271566,0.01443333
0.88,0.0003973643,0.0146
0.89,-0.00055631,0.01476667
0.9,-0.0003178914,0.0149
