Time,Force,Stroke
0,-0.002861023,0
0.01,-0.003417333,0
0.02,-0.003099442,3.333333E-05
0.03,-0.002304713,6.666667E-05
0.04,-0.002304713,0.0001
0.05,-0.003099442,0.0002
0.06,-0.003019969,0.0004666667
0.07,-0.001271566,0.0008
0.08,0.0004768372,0.001066667
0.09,0.0006357829,0.001266667
0.1,-0.0008742015,0.001466667
0.11,-0.00222524,0.0017
0.12,-0.002702077,0.0019
0.13,-0.002622604,0.002066667
0.14,-0.002066294,0.002233333
0.15,-0.0009536743,0.0024
0.16,0.0004768372,0.0026
0.17,0.001430511,0.002733333
0.18,0.0007947286,0.0029
0.19,-0.0007152557,0.003066667
0.2,-0.001351039,0.003266667
0.21,-0.00166893,0.0034
0.22,-0.00222524,0.0036
0.23,-0.002622604,0.003766667
0.24,-0.002066294,0.003933333
0.25,-0.001271566,0.004066667
0.26,-0.0007152557,0.004233333
0.27,-0.0009536743,0.0044
0.28,-0.002066294,0.004566667
0.29,-0.003099442,0.004733333
0.3,-0.003814697,0.004933333
0.31,-0.004371007,0.005066667
0.32,-0.004053116,0.005233333
0.33,-0.003099442,0.0054
0.34,-0.00222524,0.005566667
0.35,-0.001748403,0.005733334
0.36,-0.001907349,0.0059
0.37,-0.00222524,0.006066667
0.38,-0.002861023,0.006266667
0.39,-0.003496806,0.0064
0.4,-0.003496806,0.006566667
0.41,-0.002702077,0.006766667
0.42,-0.00222524,0.006933333
0.43,-0.00222524,0.0071
0.44,-0.001907349,0.007266667
0.45,-0.001351039,0.0074
0.46,-0.00166893,0.007566667
0.47,-0.002861023,0.007733333
0.48,-0.003655751,0.007900001
0.49,-0.002702077,0.008066666
0.5,-0.001509984,0.008266667
0.51,-0.001748403,0.008433334
0.52,-0.003019969,0.0086
0.53,-0.003655751,0.008766667
0.54,-0.003496806,0.0089
0.55,-0.003258387,0.009066666
0.56,-0.003019969,0.009233333
0.57,-0.002304713,0.0094
0.58,-0.001351039,0.009566667
0.59,-0.001351039,0.009766667
0.6,-0.002622604,0.009933334
0.61,-0.003099442,0.01006667
0.62,-0.002066294,0.01023333
0.63,-0.0009536743,0.0104
0.64,-0.0008742015,0.01056667
0.65,-0.00111262,0.01073333
0.66,-0.0009536743,0.0109
0.67,-0.001271566,0.01106667
0.68,-0.002463659,0.01123333
0.69,-0.003258387,0.0114
0.7,-0.00222524,0.01156667
0.71,-0.00055631,0.01173333
0.72,-0.0004768372,0.01193333
0.73,-0.001907349,0.01206667
0.74,-0.002702077,0.01223333
0.75,-0.002463659,0.01243333
0.76,-0.002622604,0.01256667
0.77,-0.003099442,0.01273333
0.78,-0.003258387,0.0129
0.79,-0.002702077,0.01306667
0.8,-0.00222524,0.01326667
0.81,-0.002463659,0.01343333
0.82,-0.003019969,0.0136
0.83,-0.002622604,0.01376667
0.84,-0.00166893,0.01396667
0.85,-0.001351039,0.01413333
0.86,-0.002304713,0.0143
0.87,-0.003099442,0.01446667
0.88,-0.003496806,0.0146
0.89,-0.003655751,0.01476667
0.9,-0.003814697,0.01493333
0.91,-0.003655751,0.01513333
0.92,-0.003258387,0.0153
0.93,-0.002463659,0.01546667
0.94,-0.001748403,0.01563333
0.95,-0.001351039,0.01576667
0.96,-0.001748403,0.01593333
0.97,-0.002622604,0.0161
0.98,-0.002861023,0.01626667
0.99,-0.002463659,0.01643333
1,-0.001748403,0.0166
1.01,-0.001351039,0.01676667
1.02,-0.001351039,0.01693333
1.03,-0.001748403,0.0171
1.04,-0.002304713,0.01726667
1.05,-0.002861023,0.01743333
1.06,-0.003417333,0.0176
1.07,-0.003496806,0.01776667
1.08,-0.003655751,0.01793333
1.09,-0.003417333,0.0181
1.1,-0.002622604,0.01826667
1.11,-0.001271566,0.0184
1.12,-7.947286E-05,0.0186
1.13,-0.0001589457,0.0188
1.14,-0.001351039,0.019
1.15,-0.002861023,0.01913333
1.16,-0.003417333,0.0193
1.17,-0.003258387,0.01943333
1.18,-0.003258387,0.0196
1.19,-0.002702077,0.01976667
1.2,-0.001351039,0.01993333
1.21,-0.0001589457,0.02013333
1.22,0.0002384186,0.0203
1.23,0.0006357829,0.02043333
1.24,0.0007947286,0.0206
1.25,-0.0004768372,0.02073333
1.26,-0.00222524,0.02093333
1.27,-0.003099442,0.0211
1.28,-0.002861023,0.0213
1.29,-0.002066294,0.02143333
1.3,-0.001351039,0.0216
1.31,-0.00111262,0.0218
1.32,-0.001351039,0.02196667
1.33,-0.002304713,0.0221
1.34,-0.003258387,0.02223333
1.35,-0.003099442,0.02243333
1.36,-0.002304713,0.0226
1.37,-0.001748403,0.02276667
1.38,-0.002066294,0.02293333
1.39,-0.002622604,0.0231
1.4,-0.003019969,0.02323333
1.41,-0.003019969,0.0234
1.42,-0.002463659,0.0236
1.43,-0.00166893,0.02376667
1.44,-0.00111262,0.02393333
1.45,-0.001351039,0.02413333
1.46,-0.00222524,0.02426667
1.47,-0.003019969,0.02443333
1.48,-0.003258387,0.0246
1.49,-0.003258387,0.02483333
1.5,-0.003019969,0.02496667
1.51,-0.002702077,0.02513333
1.52,-0.002622604,0.02526667
1.53,-0.002622604,0.02543333
1.54,-0.002861023,0.02556667
1.55,-0.003417333,0.02576667
1.56,-0.003099442,0.02596667
1.57,-0.002304713,0.02613333
1.58,-0.001748403,0.0263
1.59,-0.001907349,0.02646667
1.6,-0.002304713,0.02666667
1.61,-0.002622604,0.0268
1.62,-0.003099442,0.02696667
1.63,-0.003814697,0.0271
1.64,-0.004212061,0.02726667
1.65,-0.003496806,0.02743333
1.66,-0.002702077,0.02763333
1.67,-0.002463659,0.0278
1.68,-0.002702077,0.02796667
1.69,-0.002702077,0.02813333
1.7,-0.002304713,0.02826667
1.71,-0.002304713,0.02846667
1.72,-0.002702077,0.02863333
1.73,-0.002702077,0.0288
1.74,-0.001907349,0.029
1.75,-0.001351039,0.02913333
1.76,-0.001748403,0.0293
1.77,-0.001907349,0.02946667
1.78,-0.001351039,0.02966667
1.79,-0.00111262,0.0298
1.8,-0.00166893,0.02993333
1.81,-0.002622604,0.03013333
1.82,-0.002861023,0.0303
1.83,-0.002304713,0.03046667
1.84,-0.00166893,0.03063333
1.85,-0.001748403,0.0308
1.86,-0.001907349,0.03096667
1.87,-0.001509984,0.03113333
1.88,-0.001748403,0.0313
1.89,-0.003019969,0.03146667
1.9,-0.004053116,0.03163333
1.91,-0.003655751,0.0318
1.92,-0.002622604,0.03196667
1.93,-0.002304713,0.03216667
1.94,-0.002861023,0.03233333
1.95,-0.002702077,0.03246667
1.96,-0.00166893,0.03263333
1.97,-0.0007152557,0.0328
1.98,-0.0004768372,0.03296667
1.99,-0.0004768372,0.03313334
2,-7.947286E-05,0.03333334
2.01,-7.947286E-05,0.0335
2.02,-0.001271566,0.03366667
2.03,-0.002622604,0.0338
2.04,-0.002702077,0.03396667
2.05,-0.001748403,0.03413333
2.06,-0.00111262,0.03426667
2.07,-0.001271566,0.03446667
2.08,-0.001509984,0.03466667
2.09,-0.001509984,0.03483333
2.1,-0.001748403,0.03496667
2.11,-0.002622604,0.03513333
2.12,-0.003019969,0.0353
2.13,-0.002304713,0.03546667
2.14,-0.001509984,0.03563333
2.15,-0.001509984,0.0358
2.16,-0.001907349,0.03596667
2.17,-0.002304713,0.03613333
2.18,-0.002622604,0.03626667
2.19,-0.003019969,0.03643334
2.2,-0.004053116,0.03663334
2.21,-0.005165736,0.0368
2.22,-0.0055631,0.03696667
2.23,-0.005404154,0.0371
2.24,-0.005165736,0.0373
2.25,-0.004053116,0.03746667
2.26,-0.002702077,0.03766667
2.27,-0.00222524,0.0378
2.28,-0.003019969,0.03796667
2.29,-0.003973643,0.0381
2.3,-0.003973643,0.03826667
2.31,-0.002702077,0.03843333
2.32,-0.001509984,0.03863334
2.33,-0.001351039,0.0388
2.34,-0.002304713,0.03896667
2.35,-0.003496806,0.03913333
2.36,-0.003814697,0.0393
2.37,-0.002702077,0.0395
2.38,-0.001351039,0.03966667
2.39,-0.00166893,0.0398
2.4,-0.003099442,0.03996667
2.41,-0.004371007,0.04013333
2.42,-0.00445048,0.04026667
2.43,-0.003814697,0.04043333
2.44,-0.003258387,0.0406
2.45,-0.003099442,0.0408
2.46,-0.002861023,0.04096667
2.47,-0.002702077,0.04113333
2.48,-0.003019969,0.0413
2.49,-0.003019969,0.04146667
2.5,-0.002622604,0.04163333
2.51,-0.001748403,0.0418
2.52,-0.001509984,0.042
2.53,-0.001907349,0.04216667
2.54,-0.00222524,0.0423
2.55,-0.00222524,0.04246667
2.56,-0.001907349,0.04263333
2.57,-0.002066294,0.0428
2.58,-0.00222524,0.043
2.59,-0.00166893,0.04313333
2.6,-0.00055631,0.0433
2.61,-0.0003178914,0.0435
2.62,-0.001271566,0.04363333
2.63,-0.00222524,0.0438
2.64,-0.001907349,0.04396667
2.65,-0.001271566,0.04413334
2.66,-0.001748403,0.04433334
2.67,-0.003417333,0.0445
2.68,-0.004212061,0.04463333
2.69,-0.003814697,0.0448
2.7,-0.003417333,0.04496667
2.71,-0.003655751,0.04513333
2.72,-0.004053116,0.0453
2.73,-0.00445048,0.04543334
2.74,-0.00445048,0.0456
2.75,-0.004371007,0.04576667
2.76,-0.004212061,0.04596667
2.77,-0.003496806,0.04613334
2.78,-0.002622604,0.04626667
2.79,-0.00222524,0.04646667
2.8,-0.002702077,0.04663333
2.81,-0.003496806,0.04676667
2.82,-0.003814697,0.04696667
2.83,-0.003496806,0.04713333
2.84,-0.003019969,0.04726667
2.85,-0.002861023,0.04743334
2.86,-0.002622604,0.0476
2.87,-0.002463659,0.0478
2.88,-0.002702077,0.04796667
2.89,-0.003258387,0.04813333
2.9,-0.003099442,0.04826667
2.91,-0.002702077,0.04843333
2.92,-0.003019969,0.04863333
2.93,-0.003814697,0.0488
2.94,-0.004053116,0.04896667
2.95,-0.003655751,0.04913333
2.96,-0.003496806,0.0493
2.97,-0.003814697,0.04946667
2.98,-0.003814697,0.04963334
2.99,-0.003417333,0.0498
3,-0.003417333,0.04993333
3.01,-0.003973643,0.0501
3.02,-0.003814697,0.0503
3.03,-0.002463659,0.05046667
3.04,-0.001351039,0.05063333
3.05,-0.001907349,0.05076667
3.06,-0.003258387,0.05093333
3.07,-0.003496806,0.05113333
3.08,-0.003099442,0.05126667
3.09,-0.002861023,0.05143333
3.1,-0.003019969,0.05163334
3.11,-0.003019969,0.0518
3.12,-0.003019969,0.05196667
3.13,-0.003496806,0.05213333
3.14,-0.004212061,0.0523
3.15,-0.003655751,0.05246667
3.16,-0.00222524,0.05263333
3.17,-0.001748403,0.0528
3.18,-0.002861023,0.05293334
3.19,-0.003973643,0.05313333
3.2,-0.003973643,0.0533
3.21,-0.003496806,0.05346667
3.22,-0.003655751,0.05363333
3.23,-0.003973643,0.0538
3.24,-0.004053116,0.05396667
3.25,-0.003655751,0.05413333
3.26,-0.003019969,0.0543
3.27,-0.002066294,0.05446667
3.28,-0.001271566,0.05463333
3.29,-0.00111262,0.0548
3.3,-0.001748403,0.05496667
3.31,-0.002304713,0.05513334
3.32,-0.001748403,0.0553
3.33,-0.001271566,0.05546667
3.34,-0.001351039,0.05566667
3.35,-0.00222524,0.05583333
3.36,-0.002702077,0.056
3.37,-0.003258387,0.05616667
3.38,-0.003973643,0.0563
3.39,-0.004212061,0.05646667
3.4,-0.003655751,0.05663333
3.41,-0.003258387,0.0568
3.42,-0.003258387,0.05696667
3.43,-0.003258387,0.0571
3.44,-0.003099442,0.05726667
3.45,-0.003099442,0.05743333
3.46,-0.003655751,0.05763333
3.47,-0.004768372,0.0578
3.48,-0.005165736,0.05796667
3.49,-0.003814697,0.05813333
3.5,-0.002066294,0.0583
3.51,-0.00166893,0.05846667
3.52,-0.002463659,0.05863333
3.53,-0.002861023,0.05883333
3.54,-0.002304713,0.059
3.55,-0.00222524,0.05913333
3.56,-0.003099442,0.05926667
3.57,-0.004212061,0.05943333
3.58,-0.004212061,0.0596
3.59,-0.003655751,0.0598
3.6,-0.003099442,0.05996667
3.61,-0.002622604,0.06013333
3.62,-0.00222524,0.0603
3.63,-0.002304713,0.06046667
3.64,-0.003258387,0.0606
3.65,-0.003973643,0.0608
3.66,-0.004212061,0.061
3.67,-0.004053116,0.06113333
3.68,-0.003814697,0.0613
3.69,-0.003814697,0.06146667
3.7,-0.003814697,0.06163333
3.71,-0.003099442,0.06176667
3.72,-0.001907349,0.06193333
3.73,-0.001351039,0.06213333
3.74,-0.001748403,0.0623
3.75,-0.002861023,0.06243333
3.76,-0.003496806,0.0626
3.77,-0.003655751,0.06276666
3.78,-0.003496806,0.06296667
3.79,-0.003258387,0.06313334
3.8,-0.002622604,0.06326666
3.81,-0.001907349,0.06346667
3.82,-0.002702077,0.06363334
3.83,-0.00445048,0.0638
3.84,-0.005404154,0.06396667
3.85,-0.004768372,0.06413333
3.86,-0.003258387,0.0643
3.87,-0.002622604,0.06446667
3.88,-0.002622604,0.0646
3.89,-0.002304713,0.0648
3.9,-0.00222524,0.065
3.91,-0.003258387,0.06513333
3.92,-0.004847845,0.0653
3.93,-0.005960464,0.06543333
3.94,-0.006357829,0.0656
3.95,-0.006755193,0.06576667
3.96,-0.006993612,0.06593333
3.97,-0.006198883,0.0661
3.98,-0.00445048,0.0663
3.99,-0.003258387,0.06643333
4,-0.003417333,0.06663334
4.01,-0.004053116,0.06676666
4.02,-0.00445048,0.06693333
4.03,-0.004768372,0.0671
