Time,Force,Stroke
0,-0.00222524,0
0.01,-0.002622604,0
0.02,-0.002861023,3.333333E-05
0.03,-0.002066294,6.666667E-05
0.04,-0.0009536743,0.0001
0.05,-0.0008742015,0.0001666667
0.06,-0.00166893,0.0003666667
0.07,-0.001907349,0.0007
0.08,-0.00111262,0.001
0.09,-7.947286E-05,0.001266667
0.1,0.0006357829,0.0015
0.11,0.0003973643,0.0017
0.12,-0.0004768372,0.0019
0.13,-0.001509984,0.002066667
0.14,-0.002702077,0.002233333
0.15,-0.003417333,0.002433333
0.16,-0.002861023,0.002633333
0.17,-0.001907349,0.002833333
0.18,-0.001509984,0.003
0.19,-0.001509984,0.003133333
0.2,-0.001509984,0.003266667
0.21,-0.001271566,0.003433333
0.22,-0.001271566,0.0036
0.23,-0.001748403,0.003766667
0.24,-0.00222524,0.003966667
0.25,-0.002066294,0.0041
0.26,-0.00222524,0.004266667
0.27,-0.00222524,0.004433333
0.28,-0.001509984,0.0046
0.29,-0.00055631,0.004766667
0.3,-7.947286E-05,0.004933333
0.31,7.947286E-05,0.0051
0.32,-0.0001589457,0.005266667
0.33,-0.0004768372,0.005433334
0.34,-0.0003178914,0.005633333
0.35,-7.947286E-05,0.0058
0.36,-0.0007152557,0.005966667
0.37,-0.002066294,0.0061
0.38,-0.003019969,0.0063
0.39,-0.003258387,0.006433333
0.4,-0.003496806,0.0066
0.41,-0.003814697,0.006766667
0.42,-0.003496806,0.006966667
0.43,-0.002702077,0.007166667
0.44,-0.001748403,0.0073
0.45,-0.001271566,0.007466667
0.46,-0.001351039,0.007633334
0.47,-0.001907349,0.0078
0.48,-0.002463659,0.007933334
0.49,-0.002702077,0.0081
0.5,-0.002304713,0.0083
0.51,-0.002066294,0.008433334
0.52,-0.00222524,0.0086
0.53,-0.003019969,0.008766667
0.54,-0.003814697,0.008933334
0.55,-0.003417333,0.009133333
0.56,-0.001748403,0.0093
0.57,-0.0001589457,0.009433334
0.58,7.947286E-05,0.0096
0.59,-0.0007152557,0.009766667
0.6,-0.001748403,0.009933334
0.61,-0.00222524,0.0101
0.62,-0.002304713,0.01026667
0.63,-0.002066294,0.01046667
0.64,-0.001907349,0.01063333
0.65,-0.00222524,0.0108
0.66,-0.003019969,0.01093333
0.67,-0.003258387,0.0111
0.68,-0.003019969,0.01123333
0.69,-0.002622604,0.0114
0.7,-0.001748403,0.0116
0.71,-0.0007152557,0.01176667
0.72,-0.00055631,0.01193333
0.73,-0.00166893,0.0121
0.74,-0.002861023,0.0123
0.75,-0.003258387,0.01246667
0.76,-0.003258387,0.01263333
0.77,-0.003655751,0.0128
0.78,-0.004053116,0.01293333
0.79,-0.003973643,0.0131
0.8,-0.003019969,0.01323333
0.81,-0.002702077,0.01343333
0.82,-0.003258387,0.01363333
0.83,-0.004212061,0.0138
0.84,-0.004212061,0.01396667
0.85,-0.003258387,0.01413333
0.86,-0.00222524,0.0143
0.87,-0.001748403,0.01446667
0.88,-0.001748403,0.01463333
0.89,-0.00166893,0.0148
0.9,-0.001509984,0.01496667
0.91,-0.001748403,0.01516667
0.92,-0.002304713,0.01533333
0.93,-0.002463659,0.0155
0.94,-0.002463659,0.01563333
0.95,-0.002702077,0.0158
0.96,-0.002622604,0.016
0.97,-0.00166893,0.01613333
0.98,-0.0009536743,0.0163
0.99,-0.00166893,0.01646667
1,-0.002463659,0.01663333
1.01,-0.002622604,0.0168
1.02,-0.002622604,0.01696667
1.03,-0.003496806,0.01713333
1.04,-0.004768372,0.0173
1.05,-0.004609426,0.01746667
1.06,-0.003814697,0.0176
1.07,-0.003655751,0.01776667
1.08,-0.004053116,0.01796667
1.09,-0.004371007,0.01813333
1.1,-0.004053116,0.0183
1.11,-0.003655751,0.01846667
1.12,-0.003496806,0.01863333
1.13,-0.003973643,0.0188
1.14,-0.004609426,0.01896667
1.15,-0.00445048,0.01913333
1.16,-0.003973643,0.01933333
1.17,-0.003417333,0.01946667
1.18,-0.003417333,0.01963333
1.19,-0.003417333,0.01976667
1.2,-0.003258387,0.01993333
1.21,-0.003099442,0.02013333
1.22,-0.003019969,0.02033333
1.23,-0.002702077,0.0205
1.24,-0.002304713,0.02063333
1.25,-0.00222524,0.02076667
1.26,-0.002463659,0.02093333
1.27,-0.002463659,0.02116667
1.28,-0.002066294,0.02133333
1.29,-0.002066294,0.0215
1.3,-0.003258387,0.02163333
1.31,-0.00445048,0.0218
1.32,-0.004371007,0.02196667
1.33,-0.003258387,0.02213333
1.34,-0.003099442,0.0223
1.35,-0.004053116,0.02246667
1.36,-0.004212061,0.02263333
1.37,-0.003019969,0.02283333
1.38,-0.001907349,0.02296667
1.39,-0.002304713,0.02313333
1.4,-0.003258387,0.0233
1.41,-0.003258387,0.02346667
1.42,-0.002622604,0.02363333
1.43,-0.002622604,0.0238
1.44,-0.003258387,0.02396667
1.45,-0.003099442,0.02413333
1.46,-0.002304713,0.02426667
1.47,-0.002463659,0.02443333
1.48,-0.003258387,0.0246
1.49,-0.003655751,0.02476667
1.5,-0.003019969,0.02496667
1.51,-0.00222524,0.02516667
1.52,-0.00222524,0.02533333
1.53,-0.002622604,0.02546667
1.54,-0.002622604,0.02563333
1.55,-0.002463659,0.0258
1.56,-0.002702077,0.02593333
1.57,-0.002861023,0.02613333
1.58,-0.00222524,0.0263
1.59,-0.001748403,0.02646667
1.6,-0.00222524,0.02663333
1.61,-0.003417333,0.02676667
1.62,-0.003814697,0.02696667
1.63,-0.003496806,0.02713333
1.64,-0.003099442,0.02733333
1.65,-0.003019969,0.0275
1.66,-0.002066294,0.02763333
1.67,-0.001351039,0.0278
1.68,-0.001509984,0.028
1.69,-0.00222524,0.02816667
1.7,-0.002702077,0.0283
1.71,-0.002622604,0.02846667
1.72,-0.002304713,0.02863333
1.73,-0.002066294,0.02883333
1.74,-0.002463659,0.029
1.75,-0.002861023,0.02913333
1.76,-0.002861023,0.0293
1.77,-0.002622604,0.02946667
1.78,-0.00222524,0.02966667
1.79,-0.002066294,0.02983333
1.8,-0.002066294,0.03003333
1.81,-0.00166893,0.03016667
1.82,-0.00111262,0.03033333
1.83,-0.0008742015,0.0305
1.84,-0.0008742015,0.03063333
1.85,-0.0007152557,0.03083333
1.86,-0.0003178914,0.03096667
1.87,-0.0004768372,0.03113333
1.88,-0.001351039,0.03133333
1.89,-0.002066294,0.0315
1.9,-0.001907349,0.03166667
1.91,-0.001351039,0.03183333
1.92,-0.001271566,0.032
1.93,-0.001351039,0.03213333
1.94,-0.001271566,0.0323
1.95,-0.0007152557,0.03246667
1.96,-0.00055631,0.03263333
1.97,-0.001271566,0.0328
1.98,-0.001907349,0.03296667
1.99,-0.001351039,0.03313334
2,-0.0001589457,0.0333
2.01,0.0003973643,0.03346667
2.02,-7.947286E-05,0.03363333
2.03,-0.0004768372,0.0338
2.04,-0.0007152557,0.03396667
2.05,-0.001271566,0.03413333
2.06,-0.002066294,0.0343
2.07,-0.002702077,0.03443334
2.08,-0.002622604,0.03463333
2.09,-0.00166893,0.0348
2.1,-0.00055631,0.03496667
2.11,-0.0001589457,0.03513333
2.12,-0.00055631,0.0353
2.13,-0.0009536743,0.03546667
2.14,-0.001271566,0.03563333
2.15,-0.001748403,0.0358
2.16,-0.002702077,0.03596667
2.17,-0.003258387,0.03613333
2.18,-0.003417333,0.0363
2.19,-0.003496806,0.03643334
2.2,-0.003655751,0.0366
2.21,-0.003099442,0.0368
2.22,-0.001907349,0.03696667
2.23,-0.0008742015,0.03713333
2.24,-0.0007152557,0.0373
2.25,-0.0009536743,0.03746667
2.26,-0.001351039,0.03766667
2.27,-0.001509984,0.0378
2.28,-0.001748403,0.03796667
2.29,-0.002304713,0.03813333
2.3,-0.002702077,0.03826667
2.31,-0.002463659,0.03846667
2.32,-0.002304713,0.03863334
2.33,-0.002622604,0.0388
2.34,-0.002702077,0.03896667
2.35,-0.002463659,0.03913333
2.36,-0.002463659,0.0393
2.37,-0.003258387,0.03946667
2.38,-0.004053116,0.03963333
2.39,-0.003655751,0.0398
2.4,-0.002304713,0.03996667
2.41,-0.001271566,0.04016667
2.42,-0.00111262,0.0403
2.43,-0.00166893,0.04046667
2.44,-0.00222524,0.04063333
2.45,-0.002622604,0.0408
2.46,-0.003496806,0.04096667
2.47,-0.004212061,0.0411
2.48,-0.003496806,0.04126667
2.49,-0.002066294,0.04146667
2.5,-0.001351039,0.04163333
2.51,-0.001907349,0.0418
2.52,-0.00222524,0.04196667
2.53,-0.001271566,0.04213334
2.54,-0.0004768372,0.0423
2.55,-0.001351039,0.04246667
2.56,-0.003417333,0.04263333
2.57,-0.004212061,0.0428
2.58,-0.003655751,0.04296667
2.59,-0.003496806,0.04313333
2.6,-0.003973643,0.0433
2.61,-0.003655751,0.04346667
2.62,-0.00222524,0.04366667
2.63,-0.001271566,0.04383333
2.64,-0.00222524,0.04396667
2.65,-0.003655751,0.04413334
2.66,-0.003655751,0.04433334
2.67,-0.002702077,0.0445
2.68,-0.001907349,0.04466667
